Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.72692478	0.9076167	199998.14	0.0035987999	0.0015482621	0.0039177132	-23.278158
0.72693676	0.90662585	178249.33	0.0057797637	-0.00045746242	0.0057978393	4.5254683
0.72660309	0.90560474	158857.27	0.0071802698	-0.0018707515	0.0074199722	14.603223
0.72670501	0.90504132	141580.69	0.00827327	-0.0022305655	0.0085686883	15.088806
0.72537363	0.90464264	126178.37	-0.0024777402	-0.017338917	0.017515058	98.132538
0.72660035	0.90437726	112455.46	0.0095834853	-0.0025168662	0.0099084713	14.715023
0.72724968	0.90420618	100226.4	0.010832522	-0.002869888	0.011206239	14.838618
0.72747338	0.90398602	89324.156	0.010552563	-0.0029833803	0.010966182	15.786456
0.72748375	0.90396735	79609.563	0.011222514	-0.002921876	0.011596645	14.593451
0.7274887	0.90392969	70952.719	0.012148445	-0.0021495335	0.012337147	10.034004
0.72740257	0.90393341	6,32E+04	0.013669403	-0.0018846631	0.013798716	7.8501387
0.72732687	0.90380713	56357.633	0.012753826	-0.00043072115	0.012761096	1.9342532
0.72576064	0.90389764	50224.539	0.014872799	0.0030889583	0.015190188	-11.733056
0.72644091	0.90376312	44759.504	0.014510367	-0.00012043437	0.014510867	0.47553742
0.72731119	0.90374152	39888.289	0.015314503	0.00010287117	0.015314848	-0.38486364
0.72732371	0.90385297	35555.2229999999	0.015658222	0.00051888538	0.015666816	-1.8979849
0.72728038	0.90369714	31686.088	0.015760493	0.00056995969	0.015770795	-2.0711319
0.72637486	0.90370911	28243.766	0.015584532	0.00081759674	0.015605964	-3.0031018
0.72619373	0.90374487	25172.58	0.016061751	0.0013231126	0.016116155	-4.7091994
0.72716022	0.90376465	22435.422	0.017275739	0.00098005054	0.017303517	-3.246902
0.72745866	0.90381903	19995.176	0.017047118	0.0017257959	0.017134253	-5.7807469
0.72745329	0.90377917	17833.281	0.017561484	0.0016667239	0.017640399	-5.4215837
0.72732633	0.9037218	15875.521	0.018183032	0.0016628971	0.018258912	-5.2253489
0.72716379	0.90383618	14149.722	0.01919654	0.0020029978	0.019300755	-5.9567785
0.7272011	0.90376202	12609.483	0.017818127	0.002562583	0.018001458	-8.1840963
0.72596401	0.90381049	11236.27	0.017601009	0.0022736781	0.017747257	-7.3606405
0.72663003	0.90377692	10020.782	0.018125389	0.0019420136	0.018229129	-6.1155276
0.72677517	0.90376831	8926.084	0.017942876	0.0025459912	0.018122606	-8.0760298
