Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.85629863	0.18023689	199998.14	-0.012154038	-0.10239399	0.1031128	96.769264
0.8562873	0.1802205	178249.33	-0.007587079	-0.093899235	0.094205253	94.619476
0.8562879	0.18020576	158857.27	-0.0014205304	-0.082892649	0.082904823	90.981781
0.85632104	0.18019647	141580.69	0.00029923351	-0.072062358	0.072062977	89.762085
0.8563481	0.18018692	126178.37	0.0041806945	-0.067641847	0.067770921	86.463257
0.85632342	0.18018677	112455.46	0.0054347683	-0.060024019	0.060269557	84.826363
0.85631925	0.18017503	100226.4	0.0079212273	-0.054111317	0.054688029	81.671761
0.85627913	0.18017177	89324.156	0.0078647863	-0.048478507	0.049112324	80.785049
0.8562727	0.1801678	79609.563	0.0091025066	-0.04244107	0.043406222	77.894928
0.85621756	0.18016592	70952.719	0.010512616	-0.037554756	0.038998395	74.361595
0.85625583	0.18015965	6,32E+04	0.0095468601	-0.034747362	0.036035005	74.637032
0.85624689	0.18015903	56357.633	0.0096625239	-0.028437244	0.030034	71.233055
0.85627228	0.18015598	50224.539	0.010741429	-0.025622232	0.027782675	67.255447
0.85624665	0.18015956	44759.504	0.010734524	-0.021233868	0.023793006	63.181675
0.85623223	0.18016087	39888.289	0.011055457	-0.018092655	0.021203002	58.57312
0.8562243	0.18015196	35555.2229999999	0.01145664	-0.016113885	0.019771492	54.587959
0.85633308	0.18015643	31686.088	0.011035657	-0.013344717	0.017316675	50.410332
0.85633612	0.18015504	28243.766	0.011101611	-0.010241152	0.015103872	42.691303
0.85633564	0.18015466	25172.58	0.010502264	-0.0055801668	0.011892679	27.983044
0.85625476	0.18015598	22435.422	0.0130077	-0.0076738927	0.015102613	30.538479
0.85625744	0.18015475	19995.176	0.012275878	-0.0066466816	0.013959784	28.432995
0.85623395	0.18015181	17833.281	0.01327463	-0.0049749776	0.014176254	20.544661
0.85619396	0.18015494	15875.521	0.013825876	-0.0039758482	0.014386181	16.043423
0.85618925	0.18014818	14149.722	0.015154636	-0.0041904054	0.01572331	15.456643
0.85617125	0.18015591	12609.483	0.013913767	-0.0043880506	0.014589308	17.503958
0.85623646	0.18014818	11236.27	0.01428406	-0.0041791629	0.014882869	16.30817
0.8562749	0.18015463	10020.782	0.014018072	-0.0031519702	0.014368064	12.672229
0.85626704	0.1801526	8926.084	0.011369144	-0.0014922025	0.011466651	7.4773426
0.85628641	0.18015416	7959.7627	0.01211698	-0.00080278562	0.012143544	3.7904749
0.85624909	0.18015256	7094.7432	0.01276136	0.00023752681	0.01276357	-1.0663215
0.85620099	0.18016045	6317.6675	0.01271809	0.00077745371	0.01274183	-3.4981241
0.85615611	0.18015665	5634.436	0.014496866	0.002502314	0.014711244	-9.7933626
0.85613632	0.18015289	5021.6064	0.014410616	0.0036161256	0.014857396	-14.086644
0.85615563	0.18015518	4476.4321	0.015003826	0.0020910602	0.015148839	-7.9341183
0.85611999	0.18015485	3986.2754	0.015502271	0.0025293021	0.015707253	-9.2665501
0.8561359	0.18015479	3551.5906	0.016611533	0.0020324865	0.016735412	-6.9756927
0.85616261	0.18015555	3166.0132	0.01642276	0.0021037941	0.016556961	-7.2999663
0.85617292	0.1801505	2822.2908	0.016306812	0.0023222659	0.016471339	-8.1050377
0.85617077	0.18015401	2515.8052	0.016612722	0.0043224967	0.017165853	-14.584518
0.85615605	0.18014996	2240.7168	0.016561346	0.0041617816	0.017076259	-14.106049
0.85615259	0.18015097	1998.0815	0.017440511	0.0028260981	0.017668001	-9.2043266
0.85615176	0.18015523	1780.5698	0.017415611	0.0034544598	0.017754909	-11.219234
0.85613835	0.18015067	1587.5402	0.018961282	0.0042178892	0.019424748	-12.541105
0.85613585	0.18014642	1413.6429	0.018918162	0.0047494313	0.019505229	-14.092927
0.85614181	0.1801526	1260.4036	0.018090697	0.0047311964	0.018699132	-14.656109
0.85616529	0.18015123	1123.921	0.018772684	0.0051432722	0.019464504	-15.321712
0.85611451	0.18015437	1001.6025	0.018446378	0.0051070894	0.019140303	-15.475354
0.85613132	0.1801505	892.57068	0.01947465	0.0052179554	0.020161573	-14.999283
0.85613841	0.18014967	795.2547	0.018693734	0.0055758497	0.019507583	-16.608459
0.85610431	0.1801503	708.41333	0.019603888	0.0066186576	0.020691037	-18.655693
0.85608977	0.18015259	631.81964	0.019456791	0.0065087802	0.0205166	-18.49637
0.85610402	0.18015587	563.01819	0.020744106	0.0068813949	0.021855697	-18.352114
0.85611147	0.18015509	502.08871	0.02095411	0.0060903281	0.021821247	-16.206547
0.85619187	0.18014894	447.43402	0.021169355	0.0075225127	0.022466192	-19.562628
0.8562004	0.18015724	398.59692	0.022742111	0.0079397531	0.024088239	-19.245178
0.85619694	0.18015353	355.11365	0.021772195	0.0083908793	0.023333138	-21.076376
0.85614842	0.18014804	316.72299	0.021804919	0.0084592933	0.023388334	-21.203934
0.85612863	0.18015335	282.25809	0.022138415	0.010091281	0.024329886	-24.504766
0.85610354	0.18015532	251.36742	0.021410916	0.0114954	0.024301678	-28.2311
0.85605705	0.18015198	224.21082	0.022617444	0.011235556	0.025254436	-26.41658
0.85606563	0.1801544	199.80815	0.021696268	0.012923848	0.025253789	-30.78105
0.85607356	0.18015244	178.00633	0.023347294	0.012893955	0.026671149	-28.91045
0.85611451	0.18015163	158.62947	0.023353498	0.014858037	0.027679363	-32.465466
0.85613304	0.18014462	141.31134	0.024991142	0.016314454	0.029844908	-33.136883
0.85617244	0.18015572	126.00809	0.023616891	0.018277612	0.029863499	-37.737045
0.85620189	0.18015367	112.33657	0.025718443	0.019899502	0.032518126	-37.730713
0.85626966	0.18015799	100.03201	0.026212228	0.021848558	0.034123898	-39.812065
0.85628086	0.18015759	89.229065	0.028372921	0.024085457	0.03721736	-40.327557
0.85640836	0.18015118	79.516533	0.028153691	0.027107779	0.039082758	-43.915714
0.8564499	0.18015842	70.838745	0.028831676	0.029099371	0.040963873	-45.264759
0.85647953	0.18015163	63.160755	0.030261887	0.032692663	0.044548761	-47.211185
0.85647839	0.18015672	56.241817	0.032957058	0.034281239	0.047553875	-46.128227
0.85648686	0.18015405	50.144413	0.034954678	0.039259732	0.052565731	-48.319912
0.85648501	0.1801489	44.728058	0.036436953	0.043129336	0.056460526	-49.807877
0.85651261	0.18015236	39.859692	0.039250214	0.04769472	0.061768647	-50.54744
0.85654658	0.18014854	35.511364	0.041779794	0.051294245	0.066156261	-50.836761
0.85656458	0.18015805	31.629551	0.047022827	0.056538232	0.073537186	-50.249714
0.85661483	0.18015311	28.203972	0.049316622	0.060515363	0.078065604	-50.821899
0.85663712	0.18015434	25.136742	0.053943105	0.066710941	0.085791655	-51.040665
0.85667533	0.18015683	22.385387	0.058923125	0.070469618	0.091858052	-50.099339
0.85668314	0.18015215	19.955299	0.065747671	0.076341972	0.10075144	-49.264122
0.8566364	0.18015965	17.796129	0.072373681	0.081870146	0.10927337	-48.523132
0.85667986	0.18015607	15.857576	0.079901516	0.085311271	0.11688569	-46.875431
0.85668671	0.1801548	14.13601	0.090245835	0.08951176	0.12710887	-44.766022
0.85662723	0.18015552	12.600808	0.099010885	0.092188478	0.13528441	-42.956429
0.85661757	0.18016112	11.224856	0.10929886	0.094676867	0.14460273	-40.899769
0.85659575	0.18015253	10.003201	0.12085859	0.098198228	0.15572312	-39.094036
0.85654408	0.18015338	8.9183798	0.13108081	0.096679419	0.16287753	-36.410847
0.85652488	0.1801498	7.9395342	0.13887933	0.09705241	0.16943033	-34.946831
0.85652357	0.18014655	7.0765405	0.15239562	0.095268853	0.17972362	-32.011219
0.85653633	0.18013895	6.3105822	0.16299191	0.094087131	0.1881987	-29.995705
0.85652196	0.1801387	5.6286025	0.17006408	0.09124992	0.19299829	-28.216314
0.8565073	0.18014799	5.0144415	0.17953676	0.084755771	0.19853713	-25.271072
0.85653257	0.18015196	4.4693937	0.18669252	0.082805946	0.20423251	-23.919291
0.85651648	0.18015254	3.9859693	0.19434896	0.074980363	0.20831124	-21.09675
0.85652	0.18014716	3.5511365	0.20186423	0.071693331	0.21421741	-19.552811
0.8565104	0.1801474	3.1655185	0.20771894	0.064315937	0.21744815	-17.204075
0.85649812	0.18015254	2.8183618	0.20961866	0.058072958	0.21751425	-15.484913
0.85646325	0.18015099	2.513674	0.21704882	0.053125799	0.22345591	-13.753559
0.85645103	0.18015207	2.2398219	0.21789859	0.047568753	0.22303045	-12.314854
0.8564477	0.18015346	1.9970604	0.22177386	0.046497382	0.22659579	-11.841188
0.85648137	0.1801553	1.7796129	0.22529446	0.0401932	0.22885166	-10.115318
0.85638696	0.18015208	1.5846854	0.2272536	0.036318585	0.23013744	-9.0799541
0.85643715	0.1801519	1.4122382	0.2248944	0.030776674	0.22699052	-7.792491
0.85633773	0.18015352	1.2596743	0.22786091	0.031678908	0.23005249	-7.914948
0.85628998	0.18015102	1.1224856	0.23057601	0.022658752	0.23168667	-5.6124482
0.85635453	0.1801494	1.0000638	0.2308071	0.024626896	0.23211721	-6.0903625
