Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.8661921	0.04530151	199998.14	-0.014299484	-0.11214534	0.11305332	97.266487
0.86616439	0.045289703	178249.33	-0.0040733865	-0.096289456	0.096375577	92.422371
0.86621279	0.045274319	158857.27	0.0012189442	-0.091953263	0.091961339	89.240524
0.86620331	0.045276299	141580.69	0.0058292267	-0.08207234	0.082279094	85.937363
0.86617059	0.045266315	126178.37	0.53389865	0.38840854	0.66023403	-36.035698
0.86617857	0.045259251	112455.46	0.011090467	-0.068332113	0.069226265	80.781143
0.86615986	0.045263336	100226.4	0.01629149	-0.058099784	0.06034068	74.33622
0.8661347	0.045259289	89324.156	0.015696574	-0.054299664	0.05652288	73.876839
0.86615646	0.045260128	79609.563	0.016925	-0.045662567	0.048698314	69.66259
0.86615264	0.045254162	70952.719	0.018694097	-0.038379945	0.042690624	64.03022
0.86615437	0.045251682	6,32E+04	0.017142991	-0.036607269	0.040422447	64.906555
0.86615479	0.04525515	56357.633	0.018876115	-0.029814998	0.035287984	57.66177
0.86619806	0.045250729	50224.539	0.017152239	-0.019237733	0.025773818	48.28001
0.86612856	0.045253117	44759.504	0.01702874	-0.020833574	0.026907543	50.738464
0.86616892	0.045248901	39888.289	0.018011075	-0.02165596	0.028166991	50.249996
0.86613262	0.045250168	35555.2229999999	0.020518715	-0.014156601	0.024928438	34.603195
0.86616427	0.045246532	31686.088	0.0212871	-0.014042378	0.025501549	33.411484
0.86614466	0.045250881	28243.766	0.030782541	0.029362068	0.04254052	-43.64706
0.86617529	0.045252014	25172.58	0.022544129	-0.009510994	0.02446828	22.874075
0.86614746	0.045247593	22435.422	0.018976161	-0.0066289627	0.020100692	19.255896
0.86616755	0.04525692	19995.176	0.019073704	-0.0025796029	0.019247351	7.7021737
0.866157	0.045249683	17833.281	0.022643225	-0.00060513796	0.022651309	1.5308597
0.86614311	0.045246571	15875.521	0.02145236	-0.0033228367	0.021708177	8.8047886
0.86612117	0.045253448	14149.722	0.024855312	-0.0083720703	0.02622743	18.615185
0.8661294	0.045248695	12609.483	0.020483883	0.0018738308	0.020569412	-5.2267733
0.86613822	0.045245544	11236.27	0.021437017	-0.0036351776	0.02174305	9.6243649
0.86611843	0.045252762	10020.782	0.018588379	0.0012047861	0.018627381	-3.7083786
0.86612105	0.045248604	8926.084	0.02184689	-0.0015351586	0.021900762	4.0195084
0.86610311	0.045251419	7959.7627	0.017355701	0.002154778	0.017488951	-7.0772796
0.86610037	0.045245693	7094.7432	0.020178258	0.0028047103	0.020372249	-7.9132199
0.86611813	0.04525293	6317.6675	0.02027623	0.0063603278	0.021250395	-17.415804
0.86609644	0.045258133	5634.436	0.020190755	0.0059962338	0.021062322	-16.540323
0.86612862	0.045253151	5021.6064	0.025151931	0.0071720541	0.026154501	-15.915461
0.86608267	0.045255615	4476.4321	0.024635289	0.0036320919	0.024901597	-8.3869553
0.86614746	0.045249573	3986.2754	0.024155451	0.0069839377	0.025144804	-16.125889
0.86609077	0.045252331	3551.5906	0.023979085	0.006449867	0.024831377	-15.05503
0.86608887	0.045250336	3166.0132	0.02597929	0.0058577931	0.026631508	-12.706522
0.86610764	0.045259102	2822.2908	0.023558123	0.009468941	0.02538988	-21.897144
0.86606336	0.045256359	2515.8052	0.023878805	0.0062823002	0.024691388	-14.739982
0.86607879	0.045252148	2240.7168	0.026910594	0.0095039904	0.02853955	-19.451647
0.86607736	0.045250057	1998.0815	0.026237488	0.0043618116	0.026597578	-9.4387293
0.86608291	0.04525502	1780.5698	0.027703503	0.0059460909	0.028334433	-12.11379
0.86605245	0.045252724	1587.5402	0.02713811	0.0050105853	0.027596794	-10.460874
0.86608315	0.045253864	1413.6429	0.028861176	0.009044366	0.030245133	-17.399677
0.8660475	0.045252277	1260.4036	0.025640553	0.0066042491	0.026477426	-14.443751
0.86606234	0.045253357	1123.921	0.027391711	0.0087049603	0.028741645	-17.630018
0.86604238	0.045248009	1001.6025	0.027090825	0.0092508215	0.028626744	-18.85372
0.86603004	0.045252705	892.57068	0.029747725	0.010738133	0.031626485	-19.848227
0.86607164	0.045251049	795.2547	0.03118821	0.0080577452	0.032212291	-14.486095
0.86601949	0.045248772	708.41333	0.032451771	0.0094138896	0.033789624	-16.176844
0.86601704	0.045250935	631.81964	0.031047555	0.011054171	0.032956719	-19.597763
0.86597544	0.045251831	563.01819	0.031963799	0.013022728	0.034514867	-22.167021
0.86599314	0.045252911	502.08871	0.022181291	0.0041829864	0.022572262	-10.679518
0.86596006	0.045252911	447.43402	0.034948971	0.015403433	0.038192883	-23.785038
0.86596322	0.045257092	398.59692	0.03286742	0.018019324	0.037482843	-28.733435
0.86595005	0.045254272	355.11365	0.032744072	0.018853065	0.037783757	-29.93206
0.86594635	0.045254776	316.72299	0.033943776	0.015922949	0.037492935	-25.131168
0.86595124	0.045250298	282.25809	0.037070584	0.020643815	0.042431064	-29.112499
0.86594081	0.045259045	251.36742	0.036436871	0.020982614	0.042046588	-29.936012
0.86595511	0.04525515	224.21082	0.038331382	0.023505922	0.04496469	-31.517839
0.86592954	0.045254536	199.80815	0.041508216	0.025056779	0.048484784	-31.117628
0.86593026	0.045251308	178.00633	0.039453205	0.026941232	0.047774319	-34.32782
0.86593378	0.045255615	158.62947	0.042195082	0.026275754	0.049707547	-31.911379
0.86589175	0.045255558	141.31134	0.045204226	0.029141208	0.053783193	-32.808125
0.86588913	0.045252483	126.00809	0.043493878	0.033508364	0.054904718	-37.611217
