Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.76418632	0.90633594	199998.14	0.0010693771	0.0030103221	0.0031946215	-70.443092
0.76422191	0.90584778	178249.33	0.0051188301	-0.00026250994	0.0051255571	2.9357383
0.76432443	0.90491986	158857.27	0.0058899233	-0.0013012389	0.00603195	12.458031
0.76430649	0.9045498	141580.69	0.0063974806	-0.0021279866	0.0067421128	18.398613
0.76432729	0.9041723	126178.37	0.008239259	-0.001383396	0.0083545903	9.5312281
0.7643612	0.90388013	112455.46	0.007782938	-0.0022911318	0.0081131626	16.403311
0.76438314	0.90376538	100226.4	0.008328544	-0.0032831379	0.0089522982	21.514513
0.76438093	0.90365283	89324.156	0.0097298203	-0.0023737231	0.010015187	13.710275
0.76442218	0.90357568	79609.563	0.010022216	-0.0027538079	0.010393665	15.364017
0.76442903	0.9036864	70952.719	0.010192182	-0.002670751	0.010536293	14.6836
0.76440614	0.9035932	6,32E+04	0.010142957	-0.0021457793	0.010367447	11.945009
0.76441407	0.90347772	56357.633	0.011425792	-0.0014931501	0.011522943	7.4453588
0.76441693	0.90350671	50224.539	0.011030995	-0.0034061205	0.011544892	17.159498
0.76444268	0.90348816	44759.504	0.01162893	0.00047314056	0.011638552	-2.32988
0.76441157	0.90345758	39888.289	0.012364356	0.00058146304	0.01237802	-2.6924858
0.76444036	0.90343256	35555.2229999999	0.013397635	0.00012136507	0.013398184	-0.51901072
0.76443666	0.90333197	31686.088	0.013623403	0.000373697	0.013628528	-1.5712589
0.76445299	0.90337036	28243.766	0.013605908	0.00083119754	0.013631273	-3.4959078
0.76439798	0.90345789	25172.58	0.015168484	0.00090879231	0.015195685	-3.4286745
0.76439458	0.90341058	22435.422	0.014269237	0.00033959904	0.014273278	-1.3633467
0.76439083	0.90351868	19995.176	0.014721397	0.0008723354	0.01474722	-3.39117
0.76442969	0.90341205	17833.281	0.01493217	0.001621458	0.015019948	-6.1973653
0.76439565	0.90344641	15875.521	0.015939888	0.001455763	0.016006226	-5.2182508
0.7643612	0.90338379	14149.722	0.014943807	0.0018965468	0.015063674	-7.2328486
0.76436764	0.90342407	12609.483	0.01517773	0.0016432513	0.015266427	-6.1791883
0.76439989	0.90354474	11236.27	0.014921115	0.0014691122	0.014993263	-5.6231394
0.76442081	0.90344232	10020.782	0.015378669	0.0019264998	0.015498866	-7.1402988
0.76437253	0.90333014	8926.084	0.015313426	0.0016976432	0.015407239	-6.3259673
0.76439691	0.90331335	7959.7627	0.015733948	0.0022586852	0.015895244	-8.1692772
0.7644074	0.90322125	7094.7432	0.015990479	0.0025507216	0.016192641	-9.0631809
0.76434928	0.90356262	6317.6675	0.016494364	0.0027480393	0.016721714	-9.4588709
0.7643556	0.90356	5634.436	0.015784577	0.0025039453	0.015981946	-9.0138588
0.76433343	0.90358838	5021.6064	0.016016051	0.0024132079	0.016196836	-8.5685482
0.76436371	0.90354364	4476.4321	0.017043345	0.0025550877	0.017233806	-8.5261164
0.76435715	0.90352094	3986.2754	0.016620783	0.003162744	0.016919024	-10.77392
0.76435709	0.90355743	3551.5906	0.016468816	0.003579298	0.016853286	-12.261853
0.76439422	0.90347247	3166.0132	0.017416863	0.0025740901	0.017606052	-8.4070559
0.76435721	0.90357349	2822.2908	0.017546054	0.0031723613	0.017830532	-10.248476
0.76437426	0.90358759	2515.8052	0.016658958	0.0032472319	0.01697249	-11.030018
0.76441026	0.90352386	2240.7168	0.017446596	0.0036752876	0.017829511	-11.895953
0.76434737	0.90355743	1998.0815	0.017017193	0.0038804368	0.017454015	-12.845537
0.76435196	0.90354889	1780.5698	0.017876437	0.004024419	0.018323835	-12.687159
0.76436102	0.90351495	1587.5402	0.017845782	0.003960866	0.018280054	-12.513927
0.7643472	0.9035824	1413.6429	0.018578572	0.0045647523	0.019131135	-13.804121
0.76437271	0.90352386	1260.4036	0.01802112	0.0039209714	0.018442743	-12.274903
0.76433837	0.90355109	1123.921	0.019100795	0.0047812592	0.019690119	-14.053353
0.76434135	0.9035351	1001.6025	0.018941779	0.00514872	0.019629067	-15.206627
