Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.75228739	0.90761786	199998.14	0.002943215	0.0021703932	0.003656928	-36.405903
0.75235176	0.90712854	178249.33	0.0020974907	-0.0025207158	0.0032792492	50.236118
0.75246447	0.9062085	158857.27	0.0060153413	-0.0015750455	0.0062181265	14.672819
0.75253898	0.90579071	141580.69	0.0074493438	-0.0021206208	0.0077453055	15.890178
0.75256598	0.90542963	126178.37	0.0072637498	-0.0030363549	0.0078728339	22.68565
0.75264704	0.90522015	112455.46	0.0087211067	-0.0030410565	0.0092361104	19.223701
0.75263846	0.90501337	100226.4	0.0098955045	-0.0032391818	0.010412171	18.125275
0.75263655	0.90498651	89324.156	0.01037078	-0.0032724768	0.010874841	17.512978
0.75261778	0.90493439	79609.563	0.010622269	-0.0030782577	0.011059307	16.161211
0.75265026	0.90481213	70952.719	0.011137097	-0.002586568	0.011433515	13.075031
0.75266284	0.90478308	6,32E+04	0.011820902	-0.0016734143	0.011938762	8.0574799
0.75261956	0.9047663	56357.633	0.012503725	-0.0013604691	0.01257752	6.2096462
0.75264621	0.90469623	50224.539	0.012144387	-0.00016063648	0.012145449	0.75781971
0.75265568	0.90472827	44759.504	0.013148265	0.00041741409	0.013154889	-1.8183415
0.75266063	0.90469397	39888.289	0.013571637	0.000342863	0.013575967	-1.447167
0.75267547	0.90469104	35555.2229999999	0.014091479	0.000024013687	0.014091499	-0.097639263
0.75265098	0.90473535	31686.088	0.014129263	0.00031679269	0.014132814	-1.2844154
0.75265181	0.90467578	28243.766	0.015107173	0.00091721007	0.015134991	-3.4743652
0.75266302	0.90459039	25172.58	0.015666453	0.00049194618	0.015674176	-1.7985679
0.75266337	0.90470557	22435.422	0.015398852	0.00074200827	0.015416718	-2.7587178
0.75271523	0.90469476	19995.176	0.016036352	0.0013947434	0.016096892	-4.9707265
0.75268006	0.90475549	17833.281	0.01675673	0.0014013632	0.016815227	-4.7805142
0.75271046	0.90476147	15875.521	0.016881857	0.00094969134	0.016908549	-3.2197888
0.75271845	0.90475769	14149.722	0.016029343	0.0016835397	0.016117511	-5.9957142
0.75275397	0.90479608	12609.483	0.016616063	0.0010763695	0.016650889	-3.7063766
0.75272554	0.90466382	11236.27	0.016562901	0.0019001801	0.016671544	-6.5446496
0.75273991	0.90473688	10020.782	0.016911676	0.0021057606	0.017042272	-7.0976644
0.75274843	0.904659	8926.084	0.016832568	0.0022311667	0.016979795	-7.5505743
0.75284243	0.90473615	7959.7627	0.017775776	0.0031211399	0.018047707	-9.958703
0.7528556	0.9046698	7094.7432	0.016984347	0.0028277133	0.01721813	-9.4524384
0.75284266	0.90483746	6317.6675	0.017584028	0.0024841849	0.017758638	-8.0412502
0.75287849	0.90499249	5634.436	0.017605266	0.0021451854	0.017735479	-6.9471903
0.7528826	0.90498132	5021.6064	0.017932855	0.0029940153	0.018181073	-9.4785061
0.7528699	0.90504315	4476.4321	0.018036172	0.0031830566	0.018314894	-10.008604
0.75289875	0.90507489	3986.2754	0.017262634	0.0023851329	0.017426629	-7.8666019
0.75289565	0.9049903	3551.5906	0.018111249	0.003683235	0.018481979	-11.495321
0.75290489	0.90501526	3166.0132	0.017976066	0.0034520195	0.018304517	-10.870416
0.75291669	0.90491687	2822.2908	0.017992191	0.0035594397	0.018340899	-11.190469
0.75291133	0.90500519	2515.8052	0.018493751	0.0036779684	0.018855935	-11.248011
0.75293833	0.90506775	2240.7168	0.018919235	0.0034596093	0.019232949	-10.362729
0.75292641	0.90500519	1998.0815	0.018703798	0.0039483076	0.019115994	-11.919941
0.7529549	0.90503613	1780.5698	0.018354522	0.0042324564	0.018836193	-12.985126
0.75294155	0.90486621	1587.5402	0.019162692	0.0046295323	0.019713989	-13.58189
0.75295669	0.90494849	1413.6429	0.01886905	0.0046800817	0.019440787	-13.929936
0.75301856	0.90508154	1260.4036	0.019541845	0.0051304535	0.02020409	-14.710278
0.75301152	0.90489417	1123.921	0.019927828	0.0052889846	0.020617751	-14.864013
0.75298703	0.90498584	1001.6025	0.020306593	0.0053958809	0.021011265	-14.8808
0.75303197	0.90510468	892.57068	0.020288186	0.0055395127	0.021030851	-15.271864
0.75301129	0.90508197	795.2547	0.020539669	0.0060027838	0.021398865	-16.29117
0.7530213	0.90498352	708.41333	0.02137232	0.005953412	0.022186013	-15.565557
0.75305343	0.90500031	631.81964	0.02144417	0.0070801876	0.022582769	-18.271591
0.7530579	0.90506775	563.01819	0.021373974	0.0077696	0.022742327	-19.976585
0.75307906	0.90509088	502.08871	0.021920044	0.0077167423	0.023238685	-19.394131
0.75314641	0.90506256	447.43402	0.023423744	0.009275862	0.02519352	-21.603691
0.75317425	0.90492804	398.59692	0.022916654	0.0089407284	0.024598977	-21.312799
0.75320822	0.9050611	355.11365	0.024204928	0.010135581	0.026241353	-22.721029
0.75324643	0.90489746	316.72299	0.024095232	0.0093861194	0.025858836	-21.283033
0.75326049	0.90514374	282.25809	0.024250442	0.01051781	0.02643309	-23.447159
0.75326091	0.90508899	251.36742	0.025841763	0.0116929	0.028364073	-24.345837
0.75326675	0.90514124	224.21082	0.025616091	0.012138966	0.028346756	-25.355362
0.75329602	0.90501825	199.80815	0.026430553	0.012734	0.029338181	-25.724344
0.75325024	0.90502606	178.00633	0.026937515	0.013791421	0.030262733	-27.11146
0.75327992	0.90501117	158.62947	0.027606506	0.014926948	0.031383641	-28.400267
0.75328916	0.90507898	141.31134	0.028976697	0.015370732	0.032801043	-27.943781
0.75325239	0.90500519	126.00809	0.030463396	0.015889248	0.034358211	-27.545866
0.75328088	0.90509869	112.33657	0.031340472	0.01795334	0.036118522	-29.80617
0.75328958	0.90513483	100.03201	0.031993445	0.018768203	0.037092127	-30.397017
0.75330442	0.90496899	89.229065	0.033357896	0.020434717	0.039119393	-31.491222
0.75329167	0.90501184	79.516533	0.034015257	0.021655867	0.040323868	-32.482933
