Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.76104265	0.90832959	199998.14	0.0029838812	0.0017988307	0.0034841553	-31.083645
0.76113999	0.90741211	178249.33	0.0041183755	-0.00060035003	0.0041619032	8.293788
0.76122385	0.90650024	158857.27	0.0071656252	-0.0020677361	0.0074579967	16.096197
0.76126468	0.90609143	141580.69	0.007853617	-0.0024708493	0.0082331281	17.464249
0.76132572	0.90570502	126178.37	0.0073196022	-0.0024044148	0.0077044005	18.184826
0.76132143	0.90548407	112455.46	0.0092527727	-0.0032049185	0.0097921044	19.104748
0.76129377	0.90528278	100226.4	0.0098960502	-0.0036964228	0.01056387	20.48192
0.76133126	0.90514868	89324.156	0.010792631	-0.0028592492	0.011164953	14.83827
0.76134491	0.90518475	79609.563	0.010996142	-0.0029508451	0.011385194	15.02157
0.7613396	0.90506744	70952.719	0.012208758	-0.0024244038	0.012447149	11.231629
0.76131302	0.90512518	6,32E+04	0.012463103	-0.0044018314	0.013217604	19.452663
0.76135564	0.90503497	56357.633	0.013199157	-0.00046226749	0.013207249	2.0058217
0.7613219	0.90499512	50224.539	0.012274372	-0.0018493163	0.012412904	8.5680161
0.76133358	0.90499774	44759.504	0.01365341	0.00033728321	0.013657575	-1.4151025
0.76130038	0.90494482	39888.289	0.01428637	0.00050174218	0.014295178	-2.0114207
0.76129037	0.90482367	35555.2229999999	0.014003743	0.00088246667	0.014031521	-3.6058106
0.76134044	0.90496008	31686.088	0.015025326	0.00072337809	0.015042729	-2.7563152
0.76129454	0.90500775	28243.766	0.01502928	0.0012374335	0.015080136	-4.7068224
0.7613191	0.90492804	25172.58	0.015786553	0.0013854856	0.015847234	-5.015636
0.7612918	0.90500739	22435.422	0.016944442	0.001600136	0.017019829	-5.3946867
0.76130611	0.90492432	19995.176	0.017081589	0.0024085008	0.017250553	-8.0257864
0.7613169	0.90498132	17833.281	0.017146789	0.0034090874	0.017482398	-11.24479
0.76130843	0.90498584	15875.521	0.017091576	0.0018614583	0.017192643	-6.2156343
0.7613281	0.90497424	14149.722	0.01723863	0.0021393644	0.017370874	-7.0744028
0.76132655	0.90495374	12609.483	0.017986096	0.0015711692	0.01805459	-4.9923801
0.76133257	0.90503424	11236.27	0.018789388	0.0024831186	0.018952757	-7.5283198
0.76129973	0.90503534	10020.782	0.01589654	0.0040148301	0.016395696	-14.17421
0.76128644	0.90495673	8926.084	0.017708091	0.0026827825	0.01791016	-8.6148205
0.76129961	0.90491235	7959.7627	0.018190648	0.0030273534	0.018440839	-9.4487724
0.76130241	0.90483228	7094.7432	0.01828091	0.0033210656	0.018580128	-10.296545
0.76128834	0.9050838	6317.6675	0.018662546	0.0023658797	0.018811911	-7.2249351
0.76130176	0.90519934	5634.436	0.018357269	0.0036617389	0.018718911	-11.280774
0.76128775	0.90520715	5021.6064	0.019424971	0.0030277197	0.019659517	-8.8592587
0.761307	0.9051803	4476.4321	0.018625377	0.0035057554	0.01895244	-10.65976
0.76127732	0.90526154	3986.2754	0.019569585	0.0035392831	0.01988706	-10.251491
0.76127821	0.9051084	3551.5906	0.019275865	0.004643626	0.01982731	-13.544679
0.76129866	0.90512439	3166.0132	0.019179294	0.0037154534	0.019535862	-10.963657
0.76129043	0.90522913	2822.2908	0.019658625	0.0040701106	0.020075541	-11.69722
0.76129925	0.90524139	2515.8052	0.02020346	0.0047500674	0.020754347	-13.23061
0.76128411	0.90516986	2240.7168	0.020571494	0.0045216586	0.021062568	-12.396605
0.7612986	0.90525	1998.0815	0.019773925	0.0054375902	0.020507937	-15.375607
0.76127654	0.90525488	1780.5698	0.020849301	0.0046750139	0.02136701	-12.63832
0.76127595	0.9051662	1587.5402	0.021461677	0.0056393235	0.022190213	-14.722372
0.76123565	0.9051308	1413.6429	0.021692324	0.0058185901	0.022459138	-15.015153
0.76124597	0.90528278	1260.4036	0.02180348	0.0064151706	0.022727652	-16.395302
0.76125002	0.90511359	1123.921	0.021401679	0.0063679423	0.022328962	-16.570061
0.76121658	0.90505701	1001.6025	0.022321509	0.0069986088	0.023392955	-17.408113
0.76122457	0.90520563	892.57068	0.022644339	0.0072225421	0.023768282	-17.690382
0.76122665	0.90517731	795.2547	0.022712452	0.0078695463	0.024037164	-19.110483
0.76123703	0.90524847	708.41333	0.023875825	0.0080141947	0.025184963	-18.554918
0.76120317	0.90530176	631.81964	0.024187738	0.0087191379	0.025711283	-19.823097
0.76122379	0.90530292	563.01819	0.024370104	0.0092657516	0.026072133	-20.817291
0.76120037	0.90510242	502.08871	0.02514503	0.010347715	0.02719095	-22.368208
0.76121908	0.90513928	447.43402	0.028836248	0.013061023	0.031656273	-24.367563
0.76120418	0.90524628	398.59692	0.026537174	0.009942282	0.028338499	-20.538708
0.76118898	0.90525854	355.11365	0.026502581	0.011701838	0.028971016	-23.823175
0.7612009	0.90521008	316.72299	0.027006401	0.012949945	0.02995074	-25.618366
0.76118141	0.90521161	282.25809	0.028050054	0.013490955	0.031125735	-25.685696
0.76123047	0.90513147	251.36742	0.029311296	0.014841575	0.032854594	-26.855064
0.76120639	0.90521649	224.21082	0.030522622	0.015420101	0.034196638	-26.803013
0.76117253	0.90525891	199.80815	0.03057267	0.015462045	0.034260225	-26.827881
0.76120925	0.9051568	178.00633	0.032506254	0.017329087	0.036836855	-28.062082
0.76118207	0.90518958	158.62947	0.033892762	0.017894484	0.038326647	-27.83287
0.76120472	0.90515979	141.31134	0.035137761	0.019327873	0.040102731	-28.813429
0.76120567	0.90524445	126.00809	0.036714528	0.019868774	0.041745953	-28.420891
0.76119524	0.90523438	112.33657	0.041546568	0.022925764	0.047452167	-28.890303
0.76119184	0.90515875	100.03201	0.04014511	0.022263942	0.045905478	-29.012167
0.76119274	0.90511957	89.229065	0.041636426	0.02330718	0.047715999	-29.239168
0.76115787	0.90527423	79.516533	0.043590918	0.024565469	0.050036293	-29.40324
0.76115245	0.9052392	70.838745	0.047264919	0.024816297	0.053383715	-27.701578
0.76117164	0.90520563	63.160755	0.047958579	0.025783835	0.054450266	-28.263681
0.76116717	0.90527234	56.241817	0.049815498	0.02607356	0.056226458	-27.627676
0.76118088	0.90526489	50.144413	0.054554913	0.027700443	0.061184581	-26.919338
0.76116532	0.90525409	44.728058	0.057207942	0.028890928	0.064089268	-26.794508
0.76116478	0.90532562	39.859692	0.058380194	0.02877328	0.065085702	-26.236858
0.76117891	0.90523358	35.511364	0.062745497	0.028934201	0.069095477	-24.756124
0.76115555	0.9052254	31.629551	0.064583443	0.03133833	0.071785182	-25.884417
0.7611599	0.90524103	28.203972	0.06678877	0.027701531	0.072305702	-22.52688
0.76115185	0.90531262	25.136742	0.069470227	0.027024118	0.074541368	-21.256178
0.76113236	0.90527905	22.385387	0.072086431	0.024734654	0.076211922	-18.938374
0.76115477	0.90513373	19.955299	0.076679394	0.024714548	0.080563881	-17.864658
0.7611016	0.90508881	17.796129	0.077715121	0.024615467	0.081520312	-17.575064
0.76112443	0.90517731	15.857576	0.079808399	0.023681264	0.083247721	-16.527016
0.76113427	0.90520978	14.13601	0.083157703	0.020614948	0.085674852	-13.923043
0.76115024	0.9050365	12.600808	0.083440073	0.020636644	0.085954152	-13.891792
0.76114017	0.90517322	11.224856	0.08447133	0.021657854	0.0872036	-14.380465
0.76112646	0.90510651	10.003201	0.087054007	0.017098358	0.088717267	-11.112067
0.76109397	0.9052077	8.9183798	0.087589815	0.015381551	0.08893013	-9.9600925
0.76110798	0.90518738	7.9395342	0.0901656	0.014717991	0.09135893	-9.270793
0.76112175	0.90520081	7.0765405	0.088896722	0.011033289	0.089578792	-7.0750036
