Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.76193762	0.9064361	199998.14	0.0066017271	0.0010002325	0.0066770702	-8.6154013
0.76203424	0.90582501	178249.33	0.00966278	-0.0013612837	0.0097581968	8.0190048
0.76212436	0.90499139	158857.27	0.009922537	-0.0022780504	0.01018068	12.930097
0.76217449	0.90443463	141580.69	0.01006182	-0.002509801	0.010370117	14.005938
0.76224554	0.90423639	126178.37	0.010807562	-0.0041455668	0.011575366	20.985826
0.76228499	0.9038902	112455.46	0.012690154	-0.0033164211	0.01311635	14.646008
0.76230526	0.90369867	100226.4	0.012815539	-0.0033373618	0.013242961	14.5965
0.76233995	0.90366815	89324.156	0.013803514	-0.0023855763	0.014008139	9.8052216
0.76234978	0.9034635	79609.563	0.014450927	-0.0024304935	0.014653893	9.5471926
0.76238507	0.9035202	70952.719	0.01514633	-0.0026636242	0.015378758	9.9740143
0.76236689	0.90344043	6,32E+04	0.022901814	0.0019301099	0.022983003	-4.8173666
0.76236928	0.90348779	56357.633	0.015924359	-0.00048332495	0.015931692	1.7384676
0.76242727	0.90340839	50224.539	0.016004773	-0.0022262477	0.016158866	7.9189725
0.76240027	0.90341919	44759.504	0.017857419	0.00086937263	0.01787857	-2.7871935
0.76244491	0.90335284	39888.289	0.018139461	0.001190081	0.018178457	-3.7536418
0.76243907	0.90342181	35555.2229999999	0.018165557	0.00098643522	0.018192319	-3.1082518
0.76245856	0.90337372	31686.088	0.018618613	0.0007918466	0.018635444	-2.4353125
0.76248962	0.90334766	28243.766	0.019077444	0.0010838772	0.01910821	-3.2517405
0.76249588	0.90331854	25172.58	0.019169057	0.00085187826	0.019187976	-2.5445664
0.76251954	0.90339795	22435.422	0.02092528	0.0015504676	0.020982642	-4.2376118
0.76251256	0.90341174	19995.176	0.021194082	0.0012145016	0.021228852	-3.2796793
0.76254839	0.90344196	17833.281	0.020926785	0.0024309875	0.021067511	-6.6261406
0.76256096	0.90338525	15875.521	0.021333156	0.0022470849	0.021451175	-6.0129628
0.76256108	0.90334576	14149.722	0.020941589	0.0022807338	0.02106542	-6.2155457
0.76259768	0.90339386	12609.483	0.020973163	0.0033410734	0.021237615	-9.0512962
0.76258409	0.90349524	11236.27	0.021644576	0.0029439677	0.021843869	-7.7455039
0.76258868	0.9033819	10020.782	0.021080017	0.0028414445	0.021270659	-7.676815
0.76261771	0.90344788	8926.084	0.021572044	0.0029339881	0.021770654	-7.7452064
0.76259863	0.90341101	7959.7627	0.02162553	0.0030401235	0.021838175	-8.0022173
0.76259327	0.90326343	7094.7432	0.022056807	0.0033844777	0.02231496	-8.7236338
0.76261425	0.9035097	6317.6675	0.022168564	0.0036765097	0.022471359	-9.41642
0.76263195	0.90364911	5634.436	0.022547575	0.0041148043	0.022919964	-10.342342
0.76265389	0.90362787	5021.6064	0.022552609	0.0031582916	0.022772681	-7.9719186
0.76268959	0.90361707	4476.4321	0.022951646	0.0040655648	0.023308944	-10.044954
0.76270479	0.90353809	3986.2754	0.022537148	0.004627923	0.023007406	-11.604174
0.76272541	0.90358838	3551.5906	0.023471136	0.004601988	0.023918036	-11.093264
0.76276177	0.90356378	3166.0132	0.024180541	0.0046684449	0.024627076	-10.92743
0.76277721	0.90357605	2822.2908	0.023536369	0.004673528	0.023995886	-11.230921
0.76281631	0.90346387	2515.8052	0.023770101	0.0052717947	0.02434768	-12.504803
0.7628004	0.90358728	2240.7168	0.02422763	0.0055837445	0.02486275	-12.978343
0.76281744	0.90356116	1998.0815	0.024513399	0.005642443	0.025154401	-12.962445
0.76282132	0.90355933	1780.5698	0.024621457	0.0060237297	0.025347613	-13.74758
0.76283538	0.90352618	1587.5402	0.024701569	0.0065877563	0.025564939	-14.93287
0.76283705	0.90354407	1413.6429	0.025692321	0.0067476933	0.026563635	-14.715521
0.76286924	0.90353729	1260.4036	0.025930198	0.0069721681	0.026851188	-15.049863
0.76289272	0.90353168	1123.921	0.026006579	0.0075265011	0.027073795	-16.140844
0.76289636	0.90347247	1001.6025	0.026796155	0.0088119376	0.028207874	-18.203493
0.76292837	0.90357202	892.57068	0.027173715	0.0084372917	0.028453447	-17.249287
0.76293302	0.90353247	795.2547	0.027080392	0.0092419386	0.028614001	-18.843637
0.7629475	0.90357684	708.41333	0.027967257	0.0093724588	0.02949594	-18.527163
0.76295477	0.90359021	631.81964	0.028062001	0.010487454	0.02995768	-20.491941
0.76295513	0.90357977	563.01819	0.029405825	0.010974832	0.031387091	-20.466562
0.76298219	0.90355371	502.08871	0.029926909	0.011945661	0.032222953	-21.759968
0.76297843	0.90365466	447.43402	0.02996996	0.013492515	0.032867104	-24.237335
0.76301289	0.90364349	398.59692	0.031874362	0.013460402	0.034599964	-22.894117
0.76301658	0.90349927	355.11365	0.032175861	0.014372293	0.035239875	-24.06933
0.76304096	0.90357349	316.72299	0.035121739	0.016099531	0.038635883	-24.62635
0.76304609	0.90353546	282.25809	0.033747505	0.015675491	0.037210416	-24.914553
0.76311213	0.90356488	251.36742	0.033328965	0.018187393	0.037968423	-28.621002
0.76309091	0.90360181	224.21082	0.035657808	0.017474841	0.039709564	-26.108112
0.7631163	0.90362115	199.80815	0.037166782	0.018782755	0.041643266	-26.810392
0.76312304	0.90362531	178.00633	0.038619358	0.019932186	0.043459717	-27.29912
0.76311344	0.90362268	158.62947	0.04025754	0.021490602	0.045634586	-28.094549
0.76312971	0.90355634	141.31134	0.04098957	0.022679616	0.046845596	-28.955849
0.76316988	0.90365167	126.00809	0.043849211	0.023045447	0.04953631	-27.724676
0.76315218	0.90359991	112.33657	0.043612983	0.022689233	0.049161911	-27.48527
0.76319152	0.90371991	100.03201	0.047443345	0.024951916	0.053604748	-27.741264
0.76318151	0.90362598	89.229065	0.051119711	0.02686079	0.057747096	-27.719625
0.76319712	0.90351349	79.516533	0.052369744	0.027165771	0.05899635	-27.417135
0.76321423	0.90362451	70.838745	0.054237526	0.027967811	0.061023828	-27.278088
0.76320791	0.90349628	63.160755	0.05744677	0.027728062	0.063788533	-25.765394
0.76323545	0.90370837	56.241817	0.060180046	0.027686486	0.066243336	-24.705309
0.76324236	0.90357721	50.144413	0.063479073	0.028325727	0.069512151	-24.047457
0.76324362	0.90364648	44.728058	0.065849297	0.02899627	0.071950771	-23.765953
0.76325703	0.90367816	39.859692	0.068939246	0.028532162	0.074610345	-22.483393
0.76325667	0.90357385	35.511364	0.07116197	0.02965261	0.077092826	-22.621092
0.76326936	0.90366437	31.629551	0.07419122	0.026923351	0.078925304	-19.945396
0.76328075	0.90376465	28.203972	0.077400856	0.026203023	0.081715919	-18.702841
0.76331019	0.90369269	25.136742	0.081579909	0.02738419	0.086053327	-18.555523
0.76328886	0.90373291	22.385387	0.081770122	0.024516363	0.085366301	-16.68981
0.76333225	0.90354327	19.955299	0.080137059	0.022298042	0.083181433	-15.549163
0.76332867	0.9035697	17.796129	0.087055854	0.021712277	0.089722596	-14.004223
0.76334679	0.90367664	15.857576	0.087329157	0.019819694	0.089549996	-12.786896
0.76334059	0.90344861	14.13601	0.089638479	0.021067709	0.092080973	-13.226166
0.76334745	0.90356281	12.600808	0.090857588	0.018982956	0.092819467	-11.801098
0.76335156	0.90362189	11.224856	0.09064927	0.0172008	0.092266776	-10.744203
0.76335204	0.90363159	10.003201	0.092646025	0.015965976	0.094011694	-9.7779169
0.7633881	0.90362915	8.9183798	0.094854884	0.012617976	0.095690452	-7.577229
0.76339138	0.90370947	7.9395342	0.094628014	0.013150395	0.095537394	-7.9116864
0.76338738	0.90373407	7.0765405	0.095637955	0.011089345	0.09627872	-6.6139851
0.76337451	0.90342291	6.3105822	0.094673306	0.010792448	0.095286474	-6.5034575
0.76339161	0.90330328	5.6286025	0.096179895	0.0090487162	0.096604615	-5.3746333
0.7634331	0.90328052	5.0144415	0.096460827	0.0079133296	0.096784875	-4.6898556
0.76340955	0.90365692	4.4693937	0.093035363	0.005878021	0.093220867	-3.615171
0.76342136	0.9036886	3.9859693	0.098143086	0.0058313813	0.098316178	-3.4003534
0.76342523	0.90360626	3.5511365	0.09879455	0.0055672862	0.098951288	-3.2253296
0.76344854	0.90349445	3.1655185	0.098584741	0.0052290563	0.098723322	-3.0361936
0.76343215	0.90361542	2.8183618	0.09852697	0.0034768558	0.098588295	-2.0210359
0.76344419	0.90364124	2.513674	0.098123379	0.004023206	0.09820582	-2.347898
0.76344383	0.90355615	2.2398219	0.097990789	0.0022962061	0.098017685	-1.3423593
0.7634607	0.90351294	1.9970604	0.098895051	0.0023326115	0.098922558	-1.3511698
0.76343185	0.90354413	1.7796129	0.098157756	0.0011752603	0.098164789	-0.68597978
0.7634266	0.90352063	1.5846854	0.098163716	0.0020632043	0.098185398	-1.204065
0.76338023	0.90359058	1.4122382	0.099337012	0.00068800728	0.099339396	-0.39682373
0.76331431	0.90354492	1.2596743	0.099021979	0.00077660574	0.099025026	-0.44934791
0.76328397	0.90353369	1.1224856	0.098657422	0.00052196824	0.0986588	-0.30313277
0.76325166	0.90350787	1.0000638	0.098025329	-0.00065203296	0.098027498	0.38110748
