Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.76806092	0.90643689	199998.14	0.0023636429	0.0026483969	0.0035497625	-48.251705
0.76812124	0.90583173	178249.33	0.0035315871	0.0038003705	0.0051879594	-47.099476
0.76819992	0.90504059	158857.27	0.0064070262	-0.0010153768	0.0064869849	9.0052652
0.76826602	0.90445105	141580.69	0.0067826766	-0.00058575952	0.0068079229	4.9358811
0.76824623	0.90410223	126178.37	0.0064973612	-0.0033244295	0.0072984612	27.096937
0.76827872	0.9038902	112455.46	0.0085187741	-0.0027604981	0.0089548789	17.954853
0.76829195	0.90373969	100226.4	0.0097312704	-0.0030374078	0.010194286	17.334637
0.76829487	0.90371954	89324.156	0.0099877119	-0.0026393514	0.010330564	14.802596
0.76829189	0.90354364	79609.563	0.010847209	-0.0028352241	0.011211621	14.648157
0.76828259	0.90361188	70952.719	0.011090491	-0.0027725138	0.01143179	14.035714
0.76823628	0.90346466	6,32E+04	0.012542279	-0.0016981319	0.012656715	7.7105389
0.76823878	0.90349182	56357.633	0.012286971	-0.0011367683	0.012339445	5.2858543
0.76821262	0.90346765	50224.539	0.012545479	0.000072216666	0.012545687	-0.32981318
0.76822168	0.90338867	44759.504	0.013174394	-0.00060414395	0.013188239	2.6255982
0.76819199	0.90340875	39888.289	0.013342544	0.00034394339	0.013346977	-1.4766406
0.76818144	0.90336737	35555.2229999999	0.013806213	0.00037319283	0.013811256	-1.5483731
0.76817286	0.90352386	31686.088	0.014717259	0.00034513825	0.014721305	-1.3434119
0.76817209	0.90335876	28243.766	0.014711555	0.00099645811	0.014745263	-3.8748977
0.76813269	0.90344678	25172.58	0.015424147	0.0012588324	0.015475431	-4.6658192
0.76816756	0.90343408	22435.422	0.014909897	0.00070825068	0.014926709	-2.7196226
0.76816726	0.90343744	19995.176	0.016340641	0.0017192321	0.016430834	-6.0061088
0.76811415	0.90343817	17833.281	0.016362289	0.0018753306	0.016469408	-6.5383096
0.76814359	0.90336102	15875.521	0.016295353	0.0015788516	0.016371662	-5.5340958
0.76811373	0.90337299	14149.722	0.016726207	0.0021848439	0.016868301	-7.4420667
0.76809466	0.90338123	12609.483	0.015852986	0.0022255571	0.016008444	-7.9913707
0.76810324	0.90341058	11236.27	0.016014088	0.0031538131	0.016321689	-11.141248
0.76810783	0.90341174	10020.782	0.0175237	0.0013664414	0.017576896	-4.4587169
0.76810265	0.90335028	8926.084	0.015996344	0.0025759558	0.016202426	-9.1480341
0.76810342	0.90322723	7959.7627	0.016510969	0.0023198887	0.016673151	-7.9980378
0.76808327	0.90329504	7094.7432	0.017515058	0.0029678866	0.017764729	-9.6172886
0.76807922	0.90353247	6317.6675	0.016767304	0.0027911661	0.016998032	-9.4510689
0.76809734	0.9036748	5634.436	0.017391929	0.0028785279	0.017628532	-9.3977957
0.7680943	0.90359991	5021.6064	0.017474268	0.0025798141	0.017663676	-8.3981991
0.76812518	0.90352539	4476.4321	0.017429307	0.0027822314	0.017649973	-9.0695772
0.76807904	0.90358795	3986.2754	0.017734341	0.0028821684	0.017967019	-9.2309494
0.76808965	0.9035932	3551.5906	0.01792557	0.0027998611	0.018142913	-8.8775101
0.76810008	0.90362634	3166.0132	0.018236969	0.0027835383	0.018448174	-8.6781721
0.76805419	0.90359955	2822.2908	0.01768396	0.0030917372	0.017952194	-9.9169531
0.76809317	0.90348328	2515.8052	0.018475857	0.0033464618	0.018776476	-10.266463
0.7680465	0.90361816	2240.7168	0.018635018	0.0040544565	0.019070987	-12.274654
0.76801574	0.9035116	1998.0815	0.019486435	0.0040852469	0.019910058	-11.840334
0.76803815	0.90365692	1780.5698	0.019425953	0.0047427183	0.019996526	-13.719991
0.76802522	0.90362897	1587.5402	0.018972419	0.0046255058	0.019528134	-13.701507
0.76801151	0.90362299	1413.6429	0.019127352	0.0049440726	0.019755999	-14.492708
0.76802778	0.90371991	1260.4036	0.02008762	0.0051310724	0.020732593	-14.328927
0.76798701	0.90359692	1123.921	0.020701233	0.0050840937	0.021316404	-13.798389
0.76800019	0.90356262	1001.6025	0.020409644	0.0053759245	0.021105783	-14.756599
0.76801616	0.90362451	892.57068	0.020471076	0.0056083156	0.021225413	-15.320993
0.76801628	0.90362976	795.2547	0.021184798	0.0060056136	0.022019606	-15.827341
0.76793563	0.90360547	708.41333	0.02197337	0.0067226887	0.022978762	-17.011339
0.76796508	0.90367889	631.81964	0.022089772	0.0079096947	0.02346319	-19.700945
0.76795995	0.90371619	563.01819	0.022131544	0.0077518858	0.023449881	-19.303528
0.76794988	0.90360547	502.08871	0.022630168	0.0074967877	0.023839597	-18.328693
0.76796478	0.90360138	447.43402	0.025759619	0.0088889822	0.027250174	-19.038239
0.76796079	0.90370758	398.59692	0.023503158	0.0093719307	0.025302798	-21.739738
0.76793635	0.90360254	355.11365	0.024197988	0.0088892188	0.025779078	-20.17099
0.76793653	0.90374298	316.72299	0.024400122	0.011450918	0.02695347	-25.140551
0.76790982	0.90366663	282.25809	0.025281712	0.010546183	0.027393192	-22.643297
0.76790416	0.90371881	251.36742	0.024369698	0.012192349	0.027249506	-26.579157
0.76793748	0.90368707	224.21082	0.027369278	0.01241322	0.03005271	-24.396465
0.76790196	0.90361853	199.80815	0.027371094	0.012948146	0.030279221	-25.316919
0.76790005	0.90373633	178.00633	0.02723101	0.01353126	0.030407613	-26.423071
0.76789802	0.903604	158.62947	0.029465163	0.014414313	0.032801956	-26.06781
0.76789528	0.90359436	141.31134	0.03012445	0.016150009	0.034180481	-28.196188
