Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.74968135	0.9070592	199998.14	0.005584843	0.0010234722	0.0056778486	-10.384732
0.74974841	0.90633441	178249.33	0.0089695202	-0.0011773146	0.0090464558	7.4777389
0.74989647	0.905427	158857.27	0.0098182224	-0.0026091845	0.010159003	14.882328
0.74992162	0.90490491	141580.69	0.011253452	-0.002698001	0.011572354	13.482121
0.74992877	0.90440259	126178.37	0.023025976	-0.018924622	0.029804982	39.416149
0.74998224	0.90432178	112455.46	0.011159412	-0.0027195185	0.011486002	13.695868
0.75000232	0.90403668	100226.4	0.014461094	-0.0036676289	0.014918938	14.231311
0.75004274	0.90385217	89324.156	0.013116809	-0.0030907239	0.013476024	13.258797
0.75001425	0.90384406	79609.563	0.014160556	-0.0023862163	0.014360201	9.565135
0.75003225	0.90374677	70952.719	0.014441109	-0.0017065596	0.014541595	6.7395983
0.74999255	0.90371021	6,32E+04	0.015670799	-0.0012554157	0.015721004	4.5802855
0.75000817	0.90375641	56357.633	0.016210467	-0.0013840831	0.016269447	4.8801956
0.74999458	0.90367261	50224.539	0.015856821	-0.0025305816	0.016057478	9.0673409
0.75000137	0.90367334	44759.504	0.017503817	0.00052231795	0.017511608	-1.7092122
0.74998569	0.903664	39888.289	0.017787648	0.0013455275	0.017838467	-4.325839
0.75000101	0.90358612	35555.2229999999	0.0177978	0.0010292159	0.017827533	-3.3096297
0.75002122	0.90366919	31686.088	0.018589977	0.0011263659	0.018624069	-3.4673097
0.74999481	0.90359656	28243.766	0.019887904	0.0013264883	0.019932091	-3.8158765
0.75001031	0.9035697	25172.58	0.01983336	0.0013927562	0.019882202	-4.0168819
0.75000161	0.90362634	22435.422	0.020192161	0.0014444978	0.020243764	-4.0918293
0.75002772	0.90359021	19995.176	0.020887505	0.0021794282	0.021000899	-5.956758
0.75003743	0.90359137	17833.281	0.020975733	0.0022948214	0.02110089	-6.2435355
0.75002122	0.90361035	15875.521	0.021495776	0.0024120498	0.021630682	-6.402401
0.75000906	0.90380078	14149.722	0.020626251	0.0071890452	0.021843182	-19.21542
0.75001317	0.90369348	12609.483	0.021088867	0.0030670834	0.021310732	-8.2748604
0.74999577	0.90359393	11236.27	0.021880871	0.0036218662	0.022178603	-9.3987551
0.74999523	0.90368524	10020.782	0.021737942	0.0036189149	0.022037121	-9.45187
0.75000119	0.90366882	8926.084	0.022409325	0.003509731	0.022682507	-8.9013081
0.75002646	0.9036167	7959.7627	0.021964364	0.0034755182	0.022237636	-8.9916143
0.7499783	0.90365613	7094.7432	0.022755979	0.0036396482	0.023045208	-9.0870647
0.75001311	0.9038999	6317.6675	0.022712154	0.0038064586	0.023028918	-9.5141039
0.74999636	0.9039502	5634.436	0.022980627	0.0047013946	0.023456605	-11.562074
0.74999756	0.90389581	5021.6064	0.021607313	0.0041949251	0.022010757	-10.986939
0.74997532	0.90383319	4476.4321	0.02319631	0.0038857502	0.02351952	-9.5096569
0.74997318	0.90389539	3986.2754	0.023595259	0.0047810301	0.024074769	-11.454571
0.75001156	0.90384998	3551.5906	0.023676774	0.0044356864	0.024088688	-10.610986
0.75000215	0.9037572	3166.0132	0.024249891	0.0052407966	0.024809739	-12.195
0.74999285	0.90384064	2822.2908	0.024272	0.0049606683	0.024773741	-11.550934
