Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.82020247	0.18033298	199998.14	-0.012530206	-0.10325281	0.10401033	96.919273
0.82026935	0.18031511	178249.33	-0.0042296737	-0.09190724	0.092004515	92.634956
0.82022095	0.18030054	158857.27	-0.0011664293	-0.083511293	0.083519436	90.800217
0.82028669	0.18028932	141580.69	0.0012833498	-0.075617678	0.075628571	89.027695
0.82065713	0.18028004	126178.37	0.0037866195	-0.063660711	0.06377323	86.595985
0.82058215	0.18026172	112455.46	0.0060460009	-0.060861789	0.061161354	84.326859
0.82054788	0.18026114	100226.4	0.0074888933	-0.053874418	0.054392431	82.086227
0.82042271	0.18025407	89324.156	0.0087745395	-0.048197825	0.048990026	79.682152
0.82017827	0.18024843	79609.563	0.0089873057	-0.042675216	0.043611303	78.107422
0.82059526	0.18024875	70952.719	0.010767054	-0.036999226	0.038534038	73.774605
0.82044858	0.18024814	6,32E+04	0.010676703	-0.033301558	0.034971215	72.223801
0.82014585	0.18024635	56357.633	0.0097363805	-0.029232958	0.030811734	71.579056
0.82067299	0.18024712	50224.539	0.011530447	-0.033746772	0.035662245	71.135956
0.82026476	0.18024469	44759.504	0.01060944	-0.021657236	0.024116304	63.900707
0.82024366	0.18024251	39888.289	0.011474453	-0.01876675	0.021996681	58.557358
0.82059461	0.18023827	35555.2229999999	0.011220821	-0.015995041	0.019538376	54.949619
0.82018274	0.18024028	31686.088	0.010695601	-0.013203896	0.016992314	50.99136
0.82026517	0.18023817	28243.766	0.010579589	-0.011360707	0.015523961	47.038982
0.82058936	0.18024008	25172.58	0.012775558	-0.0091815954	0.015732659	35.704216
0.8201198	0.18024229	22435.422	0.01401761	-0.0069290129	0.015636643	26.303543
0.82023633	0.18023727	19995.176	0.013498154	-0.0057673794	0.014678652	23.135647
0.8200683	0.18023955	17833.281	0.013830414	-0.0048282058	0.014648956	19.244125
0.82016712	0.18023549	15875.521	0.012446101	-0.0041826107	0.013130105	18.575331
0.82023293	0.18023746	14149.722	0.013430104	-0.002124456	0.013597095	8.9889145
0.82010835	0.18024048	12609.483	0.014782416	-0.0043949122	0.015421902	16.55757
0.82010174	0.18023878	11236.27	0.01447679	-0.0044431295	0.015143277	17.061983
0.8202374	0.1802404	10020.782	0.014070801	-0.0033008803	0.014452794	13.202331
0.82022923	0.18023415	8926.084	0.012484409	-0.0018327305	0.012618216	8.3514566
0.8201955	0.1802397	7959.7627	0.012911866	-0.00044145042	0.012919411	1.9581521
0.82020831	0.18023618	7094.7432	0.012897787	0.00074518134	0.012919296	-3.3066397
0.82021236	0.18024521	6317.6675	0.013961561	0.0019933416	0.014103142	-8.1254082
0.82011205	0.18023824	5634.436	0.013829773	0.0019542002	0.013967159	-8.0428658
0.82014704	0.18023524	5021.6064	0.015075932	0.0025285329	0.015286504	-9.5210238
0.82025409	0.1802363	4476.4321	0.018773818	0.0023430085	0.018919459	-7.113842
0.82019442	0.18023862	3986.2754	0.015372056	0.0038260121	0.015841037	-13.976585
0.82038748	0.18023769	3551.5906	0.015525502	0.0036573408	0.015950466	-13.25549
0.82056242	0.18023914	3166.0132	0.016442006	0.0029836125	0.016710522	-10.285134
0.82006341	0.1802366	2822.2908	0.01735585	0.0037175538	0.017749527	-12.089843
0.82045048	0.18023451	2515.8052	0.018374044	0.0035761714	0.018718828	-11.013878
0.82054156	0.1802382	2240.7168	0.015597383	0.003534944	0.015992941	-12.769626
0.82045811	0.18023425	1998.0815	0.018503167	0.0036535647	0.018860428	-11.16972
0.82011896	0.18023816	1780.5698	0.018553609	0.002162897	0.018679254	-6.6492739
0.82014292	0.18023683	1587.5402	0.017919987	0.005636428	0.018785506	-17.460085
0.82009006	0.18024199	1413.6429	0.017564801	0.0043855477	0.018104013	-14.018888
0.82018268	0.18023874	1260.4036	0.018226255	0.0053935661	0.019007549	-16.484692
0.82011038	0.18023697	1123.921	0.018672977	0.0039542345	0.019087065	-11.956458
0.82019114	0.18023726	1001.6025	0.020362934	0.0045711002	0.020869693	-12.652099
0.82020855	0.18023807	892.57068	0.018766442	0.0047127455	0.019349143	-14.096959
0.82013035	0.1802424	795.2547	0.019732263	0.0050513535	0.020368563	-14.359049
0.82024884	0.18023595	708.41333	0.019177828	0.0056459755	0.019991651	-16.404491
0.82044238	0.18024236	631.81964	0.021593908	0.0064771613	0.022544412	-16.696783
0.82002282	0.1802404	563.01819	0.022345414	0.0073127332	0.023511562	-18.12114
0.82018781	0.18023193	502.08871	0.018703066	0.0074781375	0.020142671	-21.793253
0.81992316	0.18023781	447.43402	0.020173516	0.007809089	0.021632213	-21.161224
0.82010472	0.18024342	398.59692	0.02177815	0.0087659713	0.023476159	-21.925388
0.82019287	0.18024074	355.11365	0.021147203	0.0089828297	0.022975976	-23.014633
0.82047945	0.18024181	316.72299	0.022498295	0.010479306	0.024819128	-24.975267
0.82008427	0.18024001	282.25809	0.023027532	0.0091678742	0.024785422	-21.70882
0.82017499	0.18023619	251.36742	0.023388658	0.011611377	0.026112322	-26.402254
0.82043111	0.18024115	224.21082	0.024106173	0.01198092	0.026919324	-26.427668
0.82014471	0.18023476	199.80815	0.022458922	0.014272856	0.026610479	-32.43634
0.82028508	0.18024359	178.00633	0.024312343	0.014654432	0.028387364	-31.079762
0.82050788	0.18024481	158.62947	0.024374209	0.015316889	0.028787309	-32.145481
0.82000929	0.18024112	141.31134	0.02469454	0.016526625	0.029714469	-33.792103
0.8204881	0.18023943	126.00809	0.025233043	0.019053044	0.031618427	-37.055836
0.82037824	0.18024104	112.33657	0.026203085	0.020404628	0.033210699	-37.908279
0.81999427	0.18024059	100.03201	0.028198645	0.02204377	0.035792336	-38.015862
0.82048976	0.18024066	89.229065	0.026927471	0.024202246	0.036205489	-41.949009
0.82032168	0.18024051	79.516533	0.030265514	0.027587723	0.040952213	-42.349903
0.82003218	0.18024091	70.838745	0.030737599	0.029873108	0.042862602	-44.182846
0.82047433	0.18024045	63.160755	0.030849868	0.033430744	0.045489877	-47.299198
0.82037461	0.18024185	56.241817	0.033940252	0.036135077	0.049575038	-46.793972
0.82008821	0.18023859	50.144413	0.034806728	0.039104626	0.052351505	-48.327965
0.8204788	0.18024065	44.728058	0.036714375	0.044305176	0.057540368	-50.352474
0.82017356	0.18024261	39.859692	0.037394725	0.046610065	0.059756704	-51.260326
0.82018387	0.18023553	35.511364	0.042162955	0.053160742	0.067851156	-51.581291
0.82049847	0.18024112	31.629551	0.046206817	0.056504969	0.07299234	-50.725491
0.82000506	0.18023616	28.203972	0.048952665	0.063348517	0.080058716	-52.30489
0.8204304	0.18024745	25.136742	0.056012422	0.067628793	0.087812558	-50.367313
0.82048821	0.18024469	22.385387	0.059764329	0.07307709	0.09440358	-50.722813
0.82008767	0.18024232	19.955299	0.065550961	0.077591479	0.10157444	-49.808155
0.82051116	0.18024544	17.796129	0.069724329	0.081291139	0.10709683	-49.379936
0.82030994	0.18024141	15.857576	0.078354426	0.093723655	0.12216194	-50.103855
0.82008892	0.18023682	14.13601	0.086531132	0.090346768	0.12510066	-46.235802
0.82005978	0.18024313	12.600808	0.09348771	0.0977787	0.1352798	-46.285194
0.82004833	0.18024706	11.224856	0.10209959	0.10001618	0.14292502	-44.409416
0.82012022	0.18024269	10.003201	0.11543355	0.10405315	0.15540902	-42.031868
0.81997919	0.18023531	8.9183798	0.12723434	0.10479773	0.1648367	-39.476891
0.81999427	0.18023752	7.9395342	0.13723575	0.10786194	0.17455041	-38.165966
0.82006961	0.18022813	7.0765405	0.15568468	0.11330439	0.19255027	-36.046425
0.82014072	0.18022475	6.3105822	0.15951146	0.10243145	0.18956822	-32.706844
0.81994742	0.1802291	5.6286025	0.17025252	0.098356724	0.19662137	-30.015491
0.81990957	0.18023802	5.0144415	0.18479121	0.10052196	0.21036267	-28.545124
0.81996459	0.18023953	4.4693937	0.19569376	0.091383353	0.21597908	-25.031221
