Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.71822411	0.91010858	199998.14	0.0077333688	0.00018742961	0.0077356398	-1.388376
0.71827847	0.90933984	178249.33	0.0099668019	-0.002163528	0.010198921	12.247383
0.71836734	0.90841974	158857.27	0.011251936	-0.0029538793	0.011633205	14.709476
0.71849757	0.90784961	141580.69	0.012725085	-0.0031099878	0.013099611	13.733768
0.71849161	0.90750525	126178.37	0.028934533	-0.012003491	0.031325564	22.531118
0.71860105	0.9071792	112455.46	0.013758859	-0.0038552668	0.014288781	15.653006
0.71856356	0.90700549	100226.4	0.014919911	-0.0035110575	0.015327468	13.242304
0.7186861	0.90682629	89324.156	0.015588337	-0.0030489925	0.015883721	11.067019
0.71870512	0.90677484	79609.563	0.016185788	-0.002654572	0.016402027	9.3139534
0.71862125	0.90673834	70952.719	0.016535947	-0.0022982853	0.0166949	7.9126897
0.71870053	0.90664484	6,32E+04	0.017287984	-0.0013596473	0.017341368	4.496882
0.71865737	0.90666974	56357.633	0.017940529	-0.0010381516	0.017970541	3.3118
0.71866757	0.90664783	50224.539	0.015176593	0.0032786292	0.0155267	-12.190382
0.71867943	0.90663214	44759.504	0.018611796	0.00095478614	0.018636269	-2.9367023
0.71862566	0.90652332	39888.289	0.019274553	0.0012391509	0.019314345	-3.678453
0.71862406	0.90653302	35555.2229999999	0.020336207	0.0010033324	0.020360943	-2.8245256
0.71875834	0.90663776	31686.088	0.020761514	0.0013866258	0.020807767	-3.8210118
0.71869749	0.90659827	28243.766	0.020673938	0.00079224695	0.020689113	-2.1945603
0.71867198	0.90659564	25172.58	0.021785276	0.0018863084	0.021866787	-4.9486923
0.7187863	0.90654346	22435.422	0.021945849	0.0020796964	0.022044171	-5.4134626
0.71871203	0.90662134	19995.176	0.022787437	0.0029366759	0.022975886	-7.3433805
0.71873087	0.90665118	17833.281	0.022707563	0.0020439927	0.022799371	-5.1435456
0.71869171	0.90667499	15875.521	0.022680303	0.0029969793	0.022877457	-7.5274644
0.71864611	0.90660718	14149.722	0.022702245	0.0035993431	0.022985805	-9.0090122
0.71861452	0.90659753	12609.483	0.023674577	0.0031378276	0.023881616	-7.5499759
0.71868396	0.90661987	11236.27	0.023348078	0.0035894904	0.023622388	-8.7401171
0.71877104	0.90657806	10020.782	0.024088325	0.0032933396	0.024312414	-7.7851725
0.71869469	0.90652972	8926.084	0.02392875	0.0038166731	0.024231222	-9.0624294
0.71864408	0.90656097	7959.7627	0.024300817	0.0045219171	0.024717959	-10.541086
0.71876395	0.9064809	7094.7432	0.024481731	0.004574223	0.024905395	-10.583247
0.71863723	0.90674097	6317.6675	0.024107303	0.0049928441	0.024618907	-11.701052
0.71871853	0.90690533	5634.436	0.02536409	0.0046421704	0.0257854	-10.371564
0.71869272	0.90678156	5021.6064	0.025361013	0.0045767841	0.025770679	-10.229797
0.71865374	0.90672565	4476.4321	0.024190567	0.0048332359	0.024668679	-11.298824
0.71873987	0.90688928	3986.2754	0.02577191	0.005404091	0.026332404	-11.842723
0.71862978	0.90681665	3551.5906	0.026113294	0.0054624202	0.026678497	-11.81486
0.71872902	0.90672681	3166.0132	0.026427398	0.0055968603	0.027013555	-11.957561
0.71864194	0.9068006	2822.2908	0.026951728	0.0062657963	0.027670488	-13.087763
0.71867394	0.90678345	2515.8052	0.027655799	0.0061925352	0.028340619	-12.621174
0.71873975	0.90673907	2240.7168	0.027160227	0.0060246028	0.027820384	-12.506686
0.7185663	0.90676666	1998.0815	0.027775804	0.0069350717	0.028628491	-14.019004
0.71865976	0.90690717	1780.5698	0.028147504	0.0076223006	0.029161301	-15.152206
0.71868944	0.90674353	1587.5402	0.029509511	0.0075535183	0.030460907	-14.357667
0.71852642	0.90666125	1413.6429	0.028553721	0.0081699472	0.029699545	-15.967175
0.71869284	0.90678418	1260.4036	0.029828174	0.0081997905	0.030934714	-15.37097
0.71859866	0.90681067	1123.921	0.029884864	0.0086183045	0.031102737	-16.086693
0.71873623	0.90672455	1001.6025	0.030784603	0.0088438625	0.032029763	-16.028406
