Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.84514242	0.045219322	199998.14	-0.01578778	-0.11229043	0.11339486	98.003197
0.84498632	0.045215855	178249.33	-0.0099369353	-0.09886723	0.099365346	95.739403
0.84513503	0.045206604	158857.27	-0.013599205	-0.09323477	0.094221339	98.29863
0.84508723	0.045207169	141580.69	0.0014069814	-0.083166659	0.083178557	89.030785
0.84503615	0.045197937	126178.37	-0.063505538	-0.14618085	0.15937941	113.48164
0.84508169	0.045185177	112455.46	0.0075345123	-0.065492377	0.065924354	83.437309
0.84498763	0.045191502	100226.4	0.0037665297	-0.053841837	0.053973421	85.998367
0.84508884	0.045185272	89324.156	0.011655095	-0.055006344	0.056227565	78.036743
0.84492821	0.045181595	79609.563	0.014264705	-0.047816884	0.049899261	73.389137
0.84512794	0.045183556	70952.719	0.016823439	-0.042024843	0.045267157	68.182724
0.84488398	0.045176025	6,32E+04	0.013035699	-0.034812063	0.037172694	69.471123
0.84513843	0.045177307	56357.633	0.012636924	-0.031766865	0.034188092	68.307236
0.84493953	0.045178875	50224.539	0.0099037569	-0.037926398	0.039198164	75.365105
0.84504455	0.045180164	44759.504	0.01375776	-0.022800455	0.026629621	58.893284
0.84487933	0.045176117	39888.289	0.013714083	-0.021400958	0.025418047	57.347588
0.84503925	0.04517371	35555.2229999999	0.014645891	-0.016061146	0.021736203	47.638832
0.84484255	0.045178371	31686.088	0.015853383	-0.013767743	0.020997154	40.97242
0.84502232	0.045172348	28243.766	0.013742943	-0.012926344	0.018866872	43.246181
0.84496683	0.045175816	25172.58	0.016975421	-0.0072332998	0.018452251	23.079062
0.84498096	0.045174362	22435.422	0.014697549	-0.008118825	0.016790869	28.915958
0.84512931	0.045175388	19995.176	0.014551427	-0.0077008386	0.016463503	27.888481
0.84487075	0.045174271	17833.281	0.016343853	-0.0043622619	0.016915994	14.944184
0.84502751	0.045175312	15875.521	0.016006846	-0.0041805254	0.016543757	14.637048
0.84487122	0.04517276	14149.722	0.020251578	0.0051160855	0.020887813	-14.177793
0.84498656	0.045177776	12609.483	0.012237901	0.00024826414	0.012240419	-1.1621712
0.84493226	0.045176712	11236.27	0.018251823	0.00063954666	0.018263025	-2.0068316
0.84484315	0.045182217	10020.782	0.016215984	-0.0032805835	0.016544497	11.436893
0.84499836	0.045171341	8926.084	0.013266648	-0.0010183831	0.013305678	4.3895674
0.84484363	0.045177048	7959.7627	0.011661053	0.00025942453	0.011663938	-1.2744544
0.84483463	0.045171005	7094.7432	0.012151485	0.0024061378	0.012387416	-11.200358
0.84494197	0.045184784	6317.6675	0.011560899	0.0069379145	0.013482917	-30.968767
0.84470409	0.045189636	5634.436	0.013510382	0.0025801978	0.013754557	-10.81209
0.84496957	0.045177925	5021.6064	0.013036506	0.0050779353	0.013990565	-21.281738
0.84473825	0.045178799	4476.4321	0.015746729	0.003485718	0.016127918	-12.481798
0.84500599	0.045180481	3986.2754	0.017896123	0.0033722871	0.018211083	-10.671494
0.84478676	0.045174736	3551.5906	0.015656177	0.0052033579	0.016498206	-18.384317
