Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.85234326	0.045302666	199998.14	-0.020450592	-0.11134324	0.11320576	100.40761
0.8522107	0.045292057	178249.33	-0.0112065	-0.10021004	0.1008347	96.380882
0.85236222	0.045280807	158857.27	-0.0051095658	-0.090986595	0.091129951	93.214203
0.85249174	0.045274654	141580.69	-0.00083092065	-0.083460204	0.083464339	90.570412
0.85250354	0.045271057	126178.37	0.070195675	-0.040410474	0.080996536	29.928314
0.85252506	0.045268017	112455.46	0.0072876746	-0.070042886	0.070420988	84.059982
0.85240382	0.045264233	100226.4	0.011355997	-0.058962263	0.060045876	79.09845
0.85239464	0.045260746	89324.156	0.013047122	-0.050283302	0.051948413	75.454109
0.85259235	0.0452533	79609.563	0.014711874	-0.046391811	0.048668668	72.405022
0.85262448	0.045257351	70952.719	0.015274415	-0.040950079	0.043706026	69.544441
0.85259032	0.045252556	6,32E+04	0.013200002	-0.035790913	0.038147472	69.755585
0.85236597	0.045254478	56357.633	0.013134603	-0.028808529	0.031661477	65.490448
0.85228842	0.045255745	50224.539	0.030168524	-0.060894627	0.067958042	63.645184
0.8523559	0.045251999	44759.504	0.017058458	-0.026048291	0.031136867	56.780087
0.85239929	0.045252647	39888.289	0.013592024	-0.019695863	0.023930527	55.390621
0.85228544	0.045247372	35555.2229999999	0.013962693	-0.016594507	0.021687195	49.922592
0.85224056	0.045252724	31686.088	0.017236773	-0.011979837	0.020991018	34.799927
0.85208887	0.045250523	28243.766	0.013872259	-0.008558129	0.016299728	31.671431
0.85220629	0.045251495	25172.58	0.016463296	-0.010236038	0.01938599	31.871241
0.85216981	0.045249794	22435.422	0.01375824	-0.0063446066	0.015150683	24.756769
0.85220355	0.045253078	19995.176	0.014487822	-0.0023278645	0.014673647	9.1281128
0.85205847	0.04525761	17833.281	0.0151272	-0.0034782905	0.015521942	12.949291
0.85214621	0.04525222	15875.521	0.016113106	-0.0068940152	0.017525971	23.163729
0.85214955	0.045248158	14149.722	0.017750029	-0.0044091707	0.018289458	13.950125
0.85209686	0.045251736	12609.483	0.019061208	-0.00098177977	0.019086475	2.9485106
0.85217673	0.045253357	11236.27	0.015922818	-0.003152116	0.01623182	11.197621
0.85228831	0.045254925	10020.782	0.016296683	-0.0031042665	0.016589707	10.78476
0.85231876	0.045248959	8926.084	0.011583965	-0.0033540796	0.012059772	16.148109
0.85238791	0.045256302	7959.7627	0.013469115	-0.00065916887	0.013485235	2.801779
0.85231054	0.045249161	7094.7432	0.014390208	0.0037151582	0.014862048	-14.476103
0.85226804	0.045259007	6317.6675	0.020274639	0.0038141455	0.020630285	-10.654188
0.85204929	0.045257313	5634.436	0.015818009	0.0041037183	0.016341662	-14.543798
0.85219324	0.045252258	5021.6064	0.01566432	0.0027543453	0.015904633	-9.9726925
0.85226125	0.045254887	4476.4321	0.01835666	-0.010002627	0.020905012	28.586164
0.85226405	0.045252781	3986.2754	0.01649294	0.0023959219	0.016666058	-8.2655125
0.852081	0.045252556	3551.5906	0.019775102	0.0035902774	0.020098377	-10.290274
0.85216051	0.045255894	3166.0132	0.016784059	0.004415737	0.017355211	-14.739985
0.85208988	0.045267029	2822.2908	0.017077047	0.0031121201	0.017358307	-10.328237
0.85209161	0.045252182	2515.8052	0.017965442	0.0035962549	0.018321849	-11.319642
0.85214043	0.045248695	2240.7168	0.019676084	0.0056041167	0.020458601	-15.897944
0.85221845	0.045246792	1998.0815	0.01964096	0.005705216	0.020452794	-16.197283
0.85217959	0.045250881	1780.5698	0.022121618	0.0041840118	0.022513816	-10.710225
0.85209	0.045248642	1587.5402	0.019831123	0.0030240689	0.02006037	-8.6703005
