0.84261584	0.045443165	199998.14	-0.016213801	-0.11162534	0.11279674	98.264526
0.84267318	0.045431713	178249.33	-0.010187775	-0.10343313	0.10393365	95.625275
0.84250826	0.045422314	158857.27	-0.0020876732	-0.093408592	0.09343192	91.280342
0.84276676	0.045419594	141580.69	0.0030187536	-0.083073907	0.083128735	87.918892
0.84247291	0.045415024	126178.37	0.019724593	-0.1300917	0.13157853	81.378441
0.84260452	0.045401878	112455.46	0.0051258681	-0.06489522	0.065097347	85.483765
0.84252328	0.045399452	100226.4	0.0091264946	-0.057206977	0.057930399	80.935722
0.8426016	0.045400009	89324.156	0.0085753435	-0.051791783	0.052496906	80.598633
0.84252918	0.045401505	79609.563	0.010269776	-0.044573914	0.045741688	77.025536
0.84249002	0.045395554	70952.719	0.012176077	-0.040803868	0.042581834	73.384636
0.84266126	0.045398205	6,32E+04	0.013539616	-0.035003573	0.037530936	68.853195
0.84243965	0.045397156	56357.633	0.016114021	-0.028521897	0.032759126	60.534847
0.8426519	0.045396263	50224.539	0.023859903	-0.058967467	0.063611768	67.970352
0.84236377	0.045395332	44759.504	0.014980523	-0.023576982	0.027933674	57.568626
0.84258246	0.045396431	39888.289	0.014321361	-0.017061993	0.022275839	49.990841
0.84240484	0.045394531	35555.2229999999	0.014448945	-0.017651783	0.022811346	50.697807
0.84254092	0.045394302	31686.088	0.013592375	-0.014100505	0.01958512	46.051189
0.84249663	0.045394978	28243.766	0.01543985	0.0057999645	0.016493289	-20.588638
0.84254241	0.045394512	25172.58	0.017257702	-0.011246238	0.020598693	33.090874
0.84267396	0.045395535	22435.422	0.014243492	-0.0085848039	0.016630571	31.078112
0.84242392	0.045395203	19995.176	0.014507916	-0.0062766867	0.01580748	23.39518
0.84254748	0.045392014	17833.281	0.016446456	0.0010854133	0.016482234	-3.7758617
0.84244674	0.045397362	15875.521	0.015555684	-0.0004058475	0.015560977	1.4945068
0.84254122	0.045394512	14149.722	0.01031772	-0.0033144376	0.010837012	17.808962
0.8426702	0.045396172	12609.483	0.018074522	-0.0033092436	0.018374968	10.375305
0.84246594	0.045394154	11236.27	0.017378347	-0.0015563318	0.017447896	5.1175175
0.84257621	0.045396244	10020.782	0.013816203	-0.003047145	0.014148235	12.437399
0.84275275	0.045397064	8926.084	0.012077522	0.00055340707	0.012090195	-2.6235285
0.84252125	0.045397472	7959.7627	0.017058019	-0.00079560821	0.017076563	2.6704144
0.84260821	0.045387032	7094.7432	0.012923596	0.0018605032	0.013056831	-8.1921148
0.8425383	0.045399582	6317.6675	0.014917145	0.0044520185	0.015567328	-16.617722
0.84253967	0.045399433	5634.436	0.014364686	0.003637386	0.014818056	-14.209602
0.84273601	0.04539537	5021.6064	0.028970243	0.0073162704	0.029879807	-14.173365
0.84251481	0.045392422	4476.4321	0.023130523	0.0084952163	0.024641221	-20.16692
0.84271735	0.045397625	3986.2754	0.016085286	0.0032147311	0.016403381	-11.301966
0.84255469	0.045398354	3551.5906	0.018253097	0.0021210604	0.01837592	-6.6282015
0.84273571	0.045402603	3166.0132	0.018917799	0.003109985	0.019171728	-9.3356171
0.84247917	0.045392273	2822.2908	0.020353928	0.0061716135	0.02126902	-16.868084
0.84271353	0.045395405	2515.8052	0.018553093	0.0015861264	0.01862077	-4.886404
0.84244812	0.045396896	2240.7168	0.017679567	0.00030672256	0.017682226	-0.99392402
0.84263128	0.04539423	1998.0815	0.019144429	0.0036974156	0.019498207	-10.931105
0.84243691	0.04539854	1780.5698	0.015554619	0.0064448551	0.016836934	-22.506039
0.84267521	0.045399509	1587.5402	0.019436842	0.005004209	0.020070698	-14.437815
0.8424505	0.045394081	1413.6429	0.021215452	0.0031244117	0.021444285	-8.3777609
0.84270781	0.045391827	1260.4036	0.021935675	0.0055586253	0.022629011	-14.21975
0.84241074	0.04539975	1123.921	0.020934055	0.0072975191	0.022169538	-19.21833
0.8426438	0.045399155	1001.6025	0.019383823	0.0072803712	0.020705951	-20.585678
0.84240729	0.04539809	892.57068	0.018657152	0.0040366142	0.019088833	-12.208201
0.84257495	0.045392719	795.2547	0.020887341	0.0088326344	0.022678105	-22.922054
0.84237927	0.045397625	708.41333	0.021206066	0.0064082369	0.022153165	-16.814232
0.8425197	0.045399395	631.81964	0.021959627	0.0090090055	0.023735784	-22.306044
0.84239453	0.045398426	563.01819	0.02047356	0.0073584164	0.021755757	-19.76898
0.84233111	0.045391808	502.08871	0.030669933	0.033012141	0.045060474	-47.106373
0.84243602	0.045402061	447.43402	0.022345567	0.0097531434	0.024381308	-23.579769
0.84224868	0.045396488	398.59692	0.022891391	0.002931026	0.023078274	-7.2964811
0.8424446	0.04540173	355.11365	0.020272495	0.013257698	0.02422273	-33.18367
0.84239209	0.045400383	316.72299	0.021959875	0.0097786617	0.024038684	-24.003258
0.84231758	0.045396877	282.25809	0.023732286	0.011367267	0.026314182	-25.593443
0.84245694	0.045400085	251.36742	0.025466913	0.0093171857	0.027117774	-20.095276
0.842264	0.045397026	224.21082	0.01297085	0.015138038	0.019934973	-49.408768
0.84244579	0.045398838	199.80815	0.023547314	0.012028071	0.026441455	-27.058144
0.84220362	0.045395462	178.00633	0.024497654	0.018869551	0.030922404	-37.605602
0.84245974	0.045396969	158.62947	0.023465447	0.018618265	0.029954415	-38.429653
0.84216398	0.045395203	141.31134	0.026623366	0.017751766	0.031998888	-33.694321
0.84221524	0.045397045	126.00809	0.0277068	0.018694855	0.033424009	-34.009071
